agent,competition,debug_prob,debug_depth,exec_timeout,journal_path
aide,tensorflow2-question-answering,0.7,20,32400,/scratch/gpfs/PLI/sl2998/workspace/mle-agent/runs/2026-01-12T16-17-15-GMT_run-group_aide/tensorflow2-question-answering_70e1a3fe-3e71-47bd-a256-84f7ddb0734c/logs/journal.json
aide,tensorflow2-question-answering,1.0,20,32400,/scratch/gpfs/PLI/sl2998/workspace/mle-agent/runs/2026-01-12T17-53-26-GMT_run-group_aide/tensorflow2-question-answering_f3912642-6615-4bf0-9b61-b8f1cba26bcb/logs/journal.json
aide,smartphone-decimeter-2022,0.7,20,32400,/scratch/gpfs/PLI/sl2998/workspace/mle-agent/runs/2026-01-12T16-17-18-GMT_run-group_aide/smartphone-decimeter-2022_3bc4066f-ac95-40ef-b97e-11c5552def54/logs/journal.json
aide,smartphone-decimeter-2022,1.0,20,32400,/scratch/gpfs/PLI/sl2998/workspace/mle-agent/runs/2026-01-12T17-53-15-GMT_run-group_aide/smartphone-decimeter-2022_8ff7940b-70d1-4be4-9d78-84f197eedf08/logs/journal.json
aide,new-york-city-taxi-fare-prediction,0.7,20,32400,/scratch/gpfs/PLI/sl2998/workspace/mle-agent/runs/2026-01-12T14-48-03-GMT_run-group_aide/new-york-city-taxi-fare-prediction_308b6b23-0fb8-4055-9c5f-7300944fe356/logs/journal.json
aide,new-york-city-taxi-fare-prediction,1.0,20,32400,/scratch/gpfs/PLI/sl2998/workspace/mle-agent/runs/2026-01-12T17-50-05-GMT_run-group_aide/new-york-city-taxi-fare-prediction_a1194499-3da0-46a6-b3f8-3249dc6e8be2/logs/journal.json
aide,dog-breed-identification,1.0,20,32400,/scratch/gpfs/PLI/sl2998/workspace/mle-agent/runs/2026-01-07T03-28-28-GMT_run-group_aide/dog-breed-identification_b87e2950-be74-456b-a898-6b5604d34968/logs/journal.json
aide,billion-word-imputation,1.0,20,32400,/scratch/gpfs/PLI/sl2998/workspace/mle-agent/runs/2026-01-07T03-28-29-GMT_run-group_aide/billion-word-imputation_3e192ba2-0b7d-4cae-b9a2-728e3ab4ea09/logs/journal.json
aide,facebook-recruiting-iii-keyword-extraction,1.0,20,32400,/scratch/gpfs/PLI/sl2998/workspace/mle-agent/runs/2026-01-07T03-29-20-GMT_run-group_aide/facebook-recruiting-iii-keyword-extraction_91019ce9-76f3-41a2-b007-40d079f84307/logs/journal.json
mlmaster,tensorflow2-question-answering,,20,32400,/scratch/gpfs/PLI/sl2998/workspace/mle-agent/runs/2026-01-15T02-24-09-GMT_run-group_mlmaster/tensorflow2-question-answering_7bbcd639-b3cc-4c7a-9172-a7e2fdbaa347/logs/journal_from_log.json
mlmaster,smartphone-decimeter-2022,,20,32400,/scratch/gpfs/PLI/sl2998/workspace/mle-agent/runs/2026-01-15T02-51-25-GMT_run-group_mlmaster/smartphone-decimeter-2022_dc52698e-1111-4c76-866d-94afc58b01e0/logs/journal_from_log.json
aide,billion-word-imputation,0.5,20,32400,/scratch/gpfs/PLI/sl2998/workspace/mle-agent/runs/2026-01-16T03-43-30-GMT_run-group_aide/billion-word-imputation_e72b00a4-2017-489d-9bbe-4b297478e50e/logs/journal.json
aide,smartphone-decimeter-2022,0.5,20,32400,/scratch/gpfs/PLI/sl2998/workspace/mle-agent/runs/2026-01-16T03-44-37-GMT_run-group_aide/smartphone-decimeter-2022_23f5be00-01d5-40a2-af7a-98efd0b43df5/logs/journal.json
aide,tensorflow2-question-answering,0.5,20,32400,/scratch/gpfs/PLI/sl2998/workspace/mle-agent/runs/2026-01-16T03-41-58-GMT_run-group_aide/tensorflow2-question-answering_a4834608-d64f-45b0-a538-11c3bac954ec/logs/journal.json
aide,facebook-recruiting-iii-keyword-extraction,0.5,20,32400,/scratch/gpfs/PLI/sl2998/workspace/mle-agent/runs/2026-01-16T03-40-38-GMT_run-group_aide/facebook-recruiting-iii-keyword-extraction_bba63cdd-f9c5-4a73-baa3-5407db130590/logs/journal.json
aide,new-york-city-taxi-fare-prediction,0.5,20,32400,/scratch/gpfs/PLI/sl2998/workspace/mle-agent/runs/2026-01-16T03-40-29-GMT_run-group_aide/new-york-city-taxi-fare-prediction_ffa2b2bf-6723-43c3-978c-1099a22ff9e6/logs/journal.json
aide,dog-breed-identification,0.5,20,32400,/scratch/gpfs/PLI/sl2998/workspace/mle-agent/runs/2026-01-16T03-40-23-GMT_run-group_aide/dog-breed-identification_a0bf6613-aad7-4db1-ba55-34485b6fad36/logs/journal.json
mlmaster,facebook-recruiting-iii-keyword-extraction,,20,32400,/scratch/gpfs/PLI/sl2998/workspace/mle-agent/runs/2026-01-15T19-53-14-GMT_run-group_mlmaster/facebook-recruiting-iii-keyword-extraction_f0ac7f27-b233-48e7-b78c-46befa1075d1/logs/journal_from_log.json
mlmaster,dog-breed-identification,,20,32400,/scratch/gpfs/PLI/sl2998/workspace/mle-agent/runs/2026-01-15T19-52-47-GMT_run-group_mlmaster/dog-breed-identification_f7153e2c-52ce-4717-88a9-8fad19a8b3a3/logs/journal_from_log.json
mlmaster,billion-word-imputation,,20,32400,/scratch/gpfs/PLI/sl2998/workspace/mle-agent/runs/2026-01-15T19-51-47-GMT_run-group_mlmaster/billion-word-imputation_c5402bc4-13cc-42dc-a13b-73cf5e40c9da/logs/journal_from_log.json
aide,new-york-city-taxi-fare-prediction,0.7,20,900,/scratch/gpfs/PLI/sl2998/workspace/mle-agent/runs/2026-01-17T05-57-39-GMT_run-group_aide/new-york-city-taxi-fare-prediction_ac54e712-960c-4830-8621-646c5d8c90b7/logs/journal.json
aide,tensorflow2-question-answering,0.7,5,900,/scratch/gpfs/PLI/sl2998/workspace/mle-agent/runs/2026-01-17T06-01-28-GMT_run-group_aide/tensorflow2-question-answering_1f51cd5a-8b76-40a6-9da9-6af02d22dbe7/logs/journal.json
aide,smartphone-decimeter-2022,0.7,5,900,/scratch/gpfs/PLI/sl2998/workspace/mle-agent/runs/2026-01-17T06-01-52-GMT_run-group_aide/smartphone-decimeter-2022_463cbb6a-5aa8-40c7-b344-4bda6188e4bb/logs/journal.json
aide,facebook-recruiting-iii-keyword-extraction,0.7,5,900,/scratch/gpfs/PLI/sl2998/workspace/mle-agent/runs/2026-01-17T06-01-21-GMT_run-group_aide/facebook-recruiting-iii-keyword-extraction_a940bf79-9bde-4daa-a5fd-f8e60a2cd587/logs/journal.json
aide,billion-word-imputation,0.7,20,32400,/scratch/gpfs/PLI/sl2998/workspace/mle-agent/runs/2026-01-17T04-36-38-GMT_run-group_aide/billion-word-imputation_468a2bf8-bf75-41b9-8d1f-0b72f6c91b4b/logs/journal.json
aide,dog-breed-identification,0.7,20,32400,/scratch/gpfs/PLI/sl2998/workspace/mle-agent/runs/2026-01-17T04-36-41-GMT_run-group_aide/dog-breed-identification_00856ee4-f574-410c-b191-0c71bcf37364/logs/journal.json
aide,facebook-recruiting-iii-keyword-extraction,0.7,20,32400,/scratch/gpfs/PLI/sl2998/workspace/mle-agent/runs/2026-01-17T04-37-40-GMT_run-group_aide/facebook-recruiting-iii-keyword-extraction_2f4a8e6a-3290-4b7b-94d3-2c2ed29fc28a/logs/journal.json
aide,dog-breed-identification,0.7,20,900,/scratch/gpfs/PLI/sl2998/workspace/mle-agent/runs/2026-01-17T05-57-21-GMT_run-group_aide/dog-breed-identification_3440a5f6-f9c3-48cc-b89d-05627b606ab1/logs/journal.json
aide,billion-word-imputation,0.7,20,900,/scratch/gpfs/PLI/sl2998/workspace/mle-agent/runs/2026-01-17T05-57-28-GMT_run-group_aide/billion-word-imputation_b5ed78f4-7846-4283-aee4-0ef0c63dc361/logs/journal.json
aide,smartphone-decimeter-2022,0.7,20,900,/scratch/gpfs/PLI/sl2998/workspace/mle-agent/runs/2026-01-17T05-59-38-GMT_run-group_aide/smartphone-decimeter-2022_2975b4fc-6c67-4c26-8cb4-b3e7dac7ffef/logs/journal.json
aide,billion-word-imputation,0.7,5,900,/scratch/gpfs/PLI/sl2998/workspace/mle-agent/runs/2026-01-17T05-59-41-GMT_run-group_aide/billion-word-imputation_bce28670-b88a-4c2c-a9a6-a330815d3b43/logs/journal.json
aide,dog-breed-identification,0.7,5,900,/scratch/gpfs/PLI/sl2998/workspace/mle-agent/runs/2026-01-17T05-59-51-GMT_run-group_aide/dog-breed-identification_ccc99564-5dd4-4acc-ac25-5f1d9c0c8dd9/logs/journal.json
aide,tensorflow2-question-answering,0.7,20,900,/scratch/gpfs/PLI/sl2998/workspace/mle-agent/runs/2026-01-17T06-00-25-GMT_run-group_aide/tensorflow2-question-answering_c062270c-af35-4d9d-8c2e-1bd284858573/logs/journal.json
aide,facebook-recruiting-iii-keyword-extraction,0.7,20,900,/scratch/gpfs/PLI/sl2998/workspace/mle-agent/runs/2026-01-17T05-58-25-GMT_run-group_aide/facebook-recruiting-iii-keyword-extraction_6fbcae64-8faa-440d-8f47-74b5b2ecb231/logs/journal.json
aide,new-york-city-taxi-fare-prediction,0.7,5,900,/scratch/gpfs/PLI/sl2998/workspace/mle-agent/runs/2026-01-17T05-59-31-GMT_run-group_aide/new-york-city-taxi-fare-prediction_392f99c4-b806-41a8-8f7a-1bb1916f8b10/logs/journal.json
aide,billion-word-imputation,0.7,10,900,/scratch/gpfs/PLI/sl2998/workspace/mle-agent/runs/2026-01-18T06-31-50-GMT_run-group_aide/billion-word-imputation_f5b2dd9b-e8b4-4ead-bea6-03aad82442bb/logs/journal.json
aide,tensorflow2-question-answering,0.7,10,900,/scratch/gpfs/PLI/sl2998/workspace/mle-agent/runs/2026-01-18T06-31-52-GMT_run-group_aide/tensorflow2-question-answering_f9505ef2-19d7-4c88-b3f2-0341b8a6ba9f/logs/journal.json
aide,new-york-city-taxi-fare-prediction,0.7,10,900,/scratch/gpfs/PLI/sl2998/workspace/mle-agent/runs/2026-01-18T06-31-53-GMT_run-group_aide/new-york-city-taxi-fare-prediction_d44f4fb6-341f-4f62-ac3d-def65e4a4793/logs/journal.json
aide,dog-breed-identification,0.7,10,900,/scratch/gpfs/PLI/sl2998/workspace/mle-agent/runs/2026-01-18T06-32-15-GMT_run-group_aide/dog-breed-identification_8340bf25-cd77-4f94-bffb-78da43a0e57d/logs/journal.json
aide,smartphone-decimeter-2022,0.7,10,900,/scratch/gpfs/PLI/sl2998/workspace/mle-agent/runs/2026-01-18T06-34-59-GMT_run-group_aide/smartphone-decimeter-2022_22366a7a-d1ce-4089-b4d1-448f34a92203/logs/journal.json
aide,facebook-recruiting-iii-keyword-extraction,0.7,10,900,/scratch/gpfs/PLI/sl2998/workspace/mle-agent/runs/2026-01-19T06-16-41-GMT_run-group_aide/facebook-recruiting-iii-keyword-extraction_da1d8c9e-7db4-4ddb-8447-ce5afe72d55d/logs/journal.json
mlmaster,new-york-city-taxi-fare-prediction,,,,/scratch/gpfs/PLI/sl2998/workspace/mle-agent/runs/2026-01-19T06-59-33-GMT_run-group_mlmaster/new-york-city-taxi-fare-prediction_3a0d3668-1d1e-44fe-a55c-5bb68fca8124/logs/journal_from_log.json
aide,tensorflow2-question-answering,0.8,20,900,/scratch/gpfs/PLI/sl2998/workspace/mle-agent/runs/2026-01-28T18-22-19-GMT_run-group_aide/tensorflow2-question-answering_dd520e98-5338-4818-9beb-5ac5edbb8451/logs/journal.json
aide,new-york-city-taxi-fare-prediction,0.8,20,900,/scratch/gpfs/PLI/sl2998/workspace/mle-agent/runs/2026-01-28T18-22-25-GMT_run-group_aide/new-york-city-taxi-fare-prediction_3570fa32-cd97-439f-a2a2-ffe3f83a6341/logs/journal.json
aide,new-york-city-taxi-fare-prediction,0.7,10,3600,/scratch/gpfs/PLI/sl2998/workspace/mle-agent/runs/2026-01-28T18-25-18-GMT_run-group_aide/new-york-city-taxi-fare-prediction_38da1bda-9f2a-4e86-b87e-9ca2a8d19aa3/logs/journal.json
aide,dog-breed-identification,0.7,20,3600,/scratch/gpfs/PLI/sl2998/workspace/mle-agent/runs/2026-01-28T18-25-21-GMT_run-group_aide/dog-breed-identification_bef500da-3017-4627-9cb4-f366f1eb284a/logs/journal.json
aide,billion-word-imputation,0.7,20,3600,/scratch/gpfs/PLI/sl2998/workspace/mle-agent/runs/2026-01-28T18-25-22-GMT_run-group_aide/billion-word-imputation_f100efed-98cd-4aaa-b971-76bdcae3f6b3/logs/journal.json
aide,new-york-city-taxi-fare-prediction,0.7,20,3600,/scratch/gpfs/PLI/sl2998/workspace/mle-agent/runs/2026-01-28T18-25-24-GMT_run-group_aide/new-york-city-taxi-fare-prediction_7177d08d-2a01-4507-8f4d-43e973194f72/logs/journal.json
aide,new-york-city-taxi-fare-prediction,0.6,20,900,/scratch/gpfs/PLI/sl2998/workspace/mle-agent/runs/2026-01-28T18-25-24-GMT_run-group_aide/new-york-city-taxi-fare-prediction_fcee28cc-9bdd-4901-b4ac-7781cfeeeb1c/logs/journal.json
aide,dog-breed-identification,0.7,20,3600,/scratch/gpfs/PLI/sl2998/workspace/mle-agent/runs/2026-01-28T18-25-26-GMT_run-group_aide/dog-breed-identification_0351468a-6ddd-4671-9ee5-b6d83392f370/logs/journal.json
aide,billion-word-imputation,0.7,20,3600,/scratch/gpfs/PLI/sl2998/workspace/mle-agent/runs/2026-01-28T18-25-26-GMT_run-group_aide/billion-word-imputation_2b48c1c4-984a-4d9e-bb1d-007c0ae44d74/logs/journal.json
aide,dog-breed-identification,0.6,20,900,/scratch/gpfs/PLI/sl2998/workspace/mle-agent/runs/2026-01-28T18-25-38-GMT_run-group_aide/dog-breed-identification_61cd8a7e-2940-4c08-9fba-1831bf7810db/logs/journal.json
aide,tensorflow2-question-answering,0.7,20,3600,/scratch/gpfs/PLI/sl2998/workspace/mle-agent/runs/2026-01-28T18-26-00-GMT_run-group_aide/tensorflow2-question-answering_9be3528e-29cd-49aa-a333-c6b988b88a29/logs/journal.json
aide,billion-word-imputation,0.6,20,900,/scratch/gpfs/PLI/sl2998/workspace/mle-agent/runs/2026-01-28T18-26-03-GMT_run-group_aide/billion-word-imputation_ed99c1bf-dc0e-4f6e-947d-52ca1ede9450/logs/journal.json
aide,facebook-recruiting-iii-keyword-extraction,0.6,20,900,/scratch/gpfs/PLI/sl2998/workspace/mle-agent/runs/2026-01-28T18-26-14-GMT_run-group_aide/facebook-recruiting-iii-keyword-extraction_031d7221-a629-43fd-940e-3ea0c628fb79/logs/journal.json
aide,tensorflow2-question-answering,0.7,10,3600,/scratch/gpfs/PLI/sl2998/workspace/mle-agent/runs/2026-01-28T18-26-43-GMT_run-group_aide/tensorflow2-question-answering_72831c01-a0e0-436c-8d9a-1835022509ed/logs/journal.json
aide,tensorflow2-question-answering,0.7,20,3600,/scratch/gpfs/PLI/sl2998/workspace/mle-agent/runs/2026-01-28T18-26-45-GMT_run-group_aide/tensorflow2-question-answering_b3083c60-404d-4a51-bfac-7847b214834d/logs/journal.json
aide,billion-word-imputation,0.7,10,3600,/scratch/gpfs/PLI/sl2998/workspace/mle-agent/runs/2026-01-28T18-27-02-GMT_run-group_aide/billion-word-imputation_05af6d59-04d6-4b40-beeb-f4a388b84be6/logs/journal.json
aide,smartphone-decimeter-2022,0.7,20,3600,/scratch/gpfs/PLI/sl2998/workspace/mle-agent/runs/2026-01-28T18-27-17-GMT_run-group_aide/smartphone-decimeter-2022_93d897d4-61c8-4859-9b71-0ef58051a7df/logs/journal.json
aide,dog-breed-identification,0.7,10,3600,/scratch/gpfs/PLI/sl2998/workspace/mle-agent/runs/2026-01-28T18-27-24-GMT_run-group_aide/dog-breed-identification_28b36995-e26c-452d-921f-cd375cd3641d/logs/journal.json
aide,facebook-recruiting-iii-keyword-extraction,0.7,10,3600,/scratch/gpfs/PLI/sl2998/workspace/mle-agent/runs/2026-01-28T18-27-41-GMT_run-group_aide/facebook-recruiting-iii-keyword-extraction_0a356f77-fd3e-4934-bcd1-d26d68e925a7/logs/journal.json
aide,tensorflow2-question-answering,0.6,20,900,/scratch/gpfs/PLI/sl2998/workspace/mle-agent/runs/2026-01-28T18-28-13-GMT_run-group_aide/tensorflow2-question-answering_789ddf5d-d083-4222-8fa3-87ad52943b68/logs/journal.json
aide,smartphone-decimeter-2022,0.7,20,3600,/scratch/gpfs/PLI/sl2998/workspace/mle-agent/runs/2026-01-28T18-28-56-GMT_run-group_aide/smartphone-decimeter-2022_ac86949d-3669-4527-90bd-9a403ac95e4d/logs/journal.json
aide,smartphone-decimeter-2022,0.6,20,900,/scratch/gpfs/PLI/sl2998/workspace/mle-agent/runs/2026-01-28T18-29-17-GMT_run-group_aide/smartphone-decimeter-2022_e4047e66-445e-4723-87c0-dc80e4176451/logs/journal.json
aide,smartphone-decimeter-2022,0.7,10,3600,/scratch/gpfs/PLI/sl2998/workspace/mle-agent/runs/2026-01-28T18-30-14-GMT_run-group_aide/smartphone-decimeter-2022_468a0383-efa7-4099-8345-2fad0d0f97a0/logs/journal.json
aide,new-york-city-taxi-fare-prediction,0.7,5,3600,/scratch/gpfs/PLI/sl2998/workspace/mle-agent/runs/2026-01-28T18-30-27-GMT_run-group_aide/new-york-city-taxi-fare-prediction_33a19a53-c204-4197-8e00-823ccc19ca44/logs/journal.json
aide,facebook-recruiting-iii-keyword-extraction,0.7,5,3600,/scratch/gpfs/PLI/sl2998/workspace/mle-agent/runs/2026-01-28T18-31-05-GMT_run-group_aide/facebook-recruiting-iii-keyword-extraction_d88ae9a6-0972-413d-85bc-4a6f93085d66/logs/journal.json
aide,dog-breed-identification,0.7,5,3600,/scratch/gpfs/PLI/sl2998/workspace/mle-agent/runs/2026-01-28T18-31-27-GMT_run-group_aide/dog-breed-identification_25c1789f-0526-4b29-a3a8-0924dd98cbb0/logs/journal.json
aide,smartphone-decimeter-2022,0.7,5,3600,/scratch/gpfs/PLI/sl2998/workspace/mle-agent/runs/2026-01-28T18-32-46-GMT_run-group_aide/smartphone-decimeter-2022_62cdcf1c-dfe2-4d25-9897-e21e24c16a0c/logs/journal.json
aide,spaceship-titanic,,,,/scratch/gpfs/PLI/sl2998/workspace/mle-agent/runs/2025-12-17T06-45-59-GMT_run-group_aide/spaceship-titanic_cd4e6f5e-0122-4374-8f2c-51edc896dff5/logs/journal.json
aide,dog-breed-identification,,,,/scratch/gpfs/PLI/sl2998/workspace/mle-agent/runs/2025-12-17T06-48-13-GMT_run-group_aide/dog-breed-identification_a6b5e2fd-71a8-4eae-8979-7802cd26b99b/logs/journal.json
aide,spaceship-titanic,,,,/scratch/gpfs/PLI/sl2998/workspace/mle-agent/runs/2025-12-17T17-12-55-GMT_run-group_aide/spaceship-titanic_4ccb8dea-5ac0-4a62-a337-11abce1dff5b/logs/journal.json
aide,dog-breed-identification,,,,/scratch/gpfs/PLI/sl2998/workspace/mle-agent/runs/2025-12-17T20-27-30-GMT_run-group_aide/dog-breed-identification_c0e0f64d-71c0-4764-b6eb-1720ffb9b6f2/logs/journal.json
aide,dog-breed-identification,,,,/scratch/gpfs/PLI/sl2998/workspace/mle-agent/runs/2025-12-17T20-27-37-GMT_run-group_aide/dog-breed-identification_289ca915-421e-409f-a723-a00949147720/logs/journal.json
aide,facebook-recruiting-iii-keyword-extraction,,,,/scratch/gpfs/PLI/sl2998/workspace/mle-agent/runs/2025-12-17T20-27-39-GMT_run-group_aide/facebook-recruiting-iii-keyword-extraction_4f34ead4-67dd-4a3c-8ae8-53ff9665f765/logs/journal.json
aide,tensorflow2-question-answering,,,,/scratch/gpfs/PLI/sl2998/workspace/mle-agent/runs/2025-12-17T20-27-52-GMT_run-group_aide/tensorflow2-question-answering_0ca9f870-addc-490e-b655-cb9818dfe908/logs/journal.json
aide,tensorflow2-question-answering,,,,/scratch/gpfs/PLI/sl2998/workspace/mle-agent/runs/2025-12-17T20-27-55-GMT_run-group_aide/tensorflow2-question-answering_a3cf875b-2303-466b-bd8d-5a2820cd34b3/logs/journal.json
aide,new-york-city-taxi-fare-prediction,,,,/scratch/gpfs/PLI/sl2998/workspace/mle-agent/runs/2025-12-17T22-24-40-GMT_run-group_aide/new-york-city-taxi-fare-prediction_27f08044-8780-436d-b4c6-f3ada5032940/logs/journal.json
aide,new-york-city-taxi-fare-prediction,,,,/scratch/gpfs/PLI/sl2998/workspace/mle-agent/runs/2025-12-17T22-24-49-GMT_run-group_aide/new-york-city-taxi-fare-prediction_7a648d7c-7ff3-45ed-87d6-28091f916a20/logs/journal.json
